,_id,id_str,username,created_at,tweet,retweet_count,place,location,clean_tweets,len,Sentiment
362,5f41d8490132c41028c76b24,1297364284712849409,Ninyna,Sun Aug 23 02:45:23 +0000 2020,"RT @lafundacionsol: 1) Gráfico sin Fuente ¿De dónde proviene la información?
2) Datos no están ajustados por paridad de poder de compra, po…",0,,"Valparaíso, Chile",lafundacionsol gr fi fuente d nde proviene informaci n datos est n ajustados paridad poder mpra po,98,0
363,5f41d8490132c41028c76b26,1297364288160632832,RandyBCZ,Sun Aug 23 02:45:24 +0000 2020,"RT @ELTIEMPO: El 19 de agosto fue detenido un hombre acusado de presuntos abusos sexuales contra una menor, de 11 años, quien es nieta de s…",0,,,eltiempo agosto detenido hombre acusado presuntos abusos sexuales ntra menor nieta s,84,0
364,5f41d84b0132c41028c76b28,1297364292594008069,AwakeKitty,Sun Aug 23 02:45:25 +0000 2020,RT @Aurora_CL_: No me sorprendería! Estamos en chile y año 2020 todo es posible! 🙄,0,,,aurora cl sorprender chile posible,34,0
365,5f41d84b0132c41028c76b2a,1297364294741434370,_Aakcay,Sun Aug 23 02:45:26 +0000 2020,RT @Reuters: Chile´s Pinera vows crackdown after nine-year-old injured by gunfire in Araucania https://t.co/Iuih1K0qwx https://t.co/Kzcskr4…,0,,Kastamonu,reuters chile s pinera vows crackdown after nine year old injured by gunfire in araucania s t iuih k qwx s t kzcskr,115,1
366,5f41d84b0132c41028c76b2c,1297364294833668097,ferminjorge,Sun Aug 23 02:45:26 +0000 2020,@felipeharboe una quien le pidió ud investigue?lis derechos humanos alguna corte algún ente fuera de Chile..no nada… https://t.co/2FLAHnW2Ms,0,,,felipeharboe pidi ud investigue lis derechos humanos alguna alg n ente chile s t flahnw ms,90,0
367,5f41d84b0132c41028c76b2e,1297364295936770049,AGUSTINNAZAL1,Sun Aug 23 02:45:26 +0000 2020,"RT @rodrigo_prena: El discurso es prácticamente igual al de Jadue y el FA , https://t.co/DD3MzhgIXa",0,,,rodrigo prena discurso pr cticamente igual jadue fa s t dd mzhgixa,66,0
368,5f41d84c0132c41028c76b30,1297364297190985729,hectorarriag,Sun Aug 23 02:45:26 +0000 2020,"GRANDE MIS CARABINEROS DE CHILE MUCHAS
BUENAS VIBRAS Y FUERZA PARA USTEDES
OK",0,,,grande carabineros chile muchas buenas vibras fuerza ustedes ok,63,1
369,5f41d84c0132c41028c76b32,1297364299514609665,carlos_ayub,Sun Aug 23 02:45:27 +0000 2020,"Te pasaste @guillier Por si no lo sabias, Costa Rica tiene la condición de ""Estado Libre Asociado"" de USA.",0,,Santiago de Chile,pasaste guillier si sabias costa rica ndici n libre asociado usa,64,0
370,5f41d84d0132c41028c76b34,1297364302131757060,koobieluvr,Sun Aug 23 02:45:28 +0000 2020,RT @retrokoya: and i strongly suggest y’all keep buying dynamite on itunes cause..... chile,0,,🇩🇴,retrokoya and i strongly suggest all keep buying dynamite on itunes cause chile,79,1
371,5f41d84d0132c41028c76b36,1297364304128221184,cherryglxss1,Sun Aug 23 02:45:28 +0000 2020,@hydeoutlow um chile anyways so- https://t.co/SfXk0zriAw,0,,,hydeoutlow um chile anyways so s t sfxk zriaw,45,0
372,5f41d84d0132c41028c76b38,1297364304778469377,trans_victory,Sun Aug 23 02:45:28 +0000 2020,"RT @GodnaldTrump: Ver gente prácticamente ""justificando"" q una niña sea quemada x terroristas, x el hecho d q han ""baleado"" a muchos niños…",0,,,godnaldtrump ver gente pr cticamente justificando q quemada x terroristas x hecho d q baleado,93,0
